timestamp,cement_category,product_name,current_blaine,target_blaine,blaine_gap_pct,current_rpm,suggested_rpm,interpretation,recommendation,reason
2026-04-05 10:55:58,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 11:02:25,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 11:02:30,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 11:02:59,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 11:03:19,0,PPC,420.0,395,-5.95,700.0,658.33,Blaine above target,Reduce separator RPM by 5.95%,"PPC target Blaine is 395. Current Blaine is 420.00, so required correction is -5.95%."
2026-04-05 11:03:28,0,PPC,420.0,395,-5.95,800.0,752.38,Blaine above target,Reduce separator RPM by 5.95%,"PPC target Blaine is 395. Current Blaine is 420.00, so required correction is -5.95%."
2026-04-05 11:03:39,0,PPC,420.0,395,-5.95,700.0,658.33,Blaine above target,Reduce separator RPM by 5.95%,"PPC target Blaine is 395. Current Blaine is 420.00, so required correction is -5.95%."
2026-04-05 11:03:53,0,PPC,425.0,395,-7.06,700.0,650.59,Blaine above target,Reduce separator RPM by 7.06%,"PPC target Blaine is 395. Current Blaine is 425.00, so required correction is -7.06%."
2026-04-05 11:05:01,0,PPC,425.0,395,-7.06,700.0,650.59,Blaine above target,Reduce separator RPM by 7.06%,"PPC target Blaine is 395. Current Blaine is 425.00, so required correction is -7.06%."
2026-04-05 11:57:28,0,PPC,425.0,395,-7.06,700.0,650.59,Blaine above target,Reduce separator RPM by 7.06%,"PPC target Blaine is 395. Current Blaine is 425.00, so required correction is -7.06%."
2026-04-05 11:57:46,0,PPC,425.0,395,-7.06,700.0,650.59,Blaine above target,Reduce separator RPM by 7.06%,"PPC target Blaine is 395. Current Blaine is 425.00, so required correction is -7.06%."
2026-04-05 12:52:18,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 12:54:38,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 68.1 RPM (9.72%),"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 12:55:14,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 768.1 RPM (9.72%),"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 12:55:45,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,New suggested separator RPM: 768.1 RPM (9.72%),"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 12:57:13,0,PPC,420.0,395,-5.95,700.0,658.33,Blaine above target,New suggested separator RPM: 658.3 RPM (5.95%),"PPC target Blaine is 395. Current Blaine is 420.00, so required correction is -5.95%."
2026-04-05 13:09:44,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,New suggested separator RPM: 768.1 RPM (9.72%),"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-07 15:35:13,0,PPC,356.0,395,10.96,949.92,1053.98,Blaine below target,New suggested separator RPM: 1054.0 RPM (10.96%),"PPC target Blaine is 395. Current Blaine is 356.00, so required correction is 10.96%."
2026-04-07 15:39:44,0,PPC,362.0,395,9.12,683.03,745.3,Blaine below target,New suggested separator RPM: 745.3 RPM (9.12%),"PPC target Blaine is 395. Current Blaine is 362.00, so required correction is 9.12%."
2026-04-07 15:46:56,0,PPC,380.0,395,3.95,728.0,756.74,Blaine below target,New suggested separator RPM: 756.7 RPM (3.95%),"PPC target Blaine is 395. Current Blaine is 380.00, so required correction is 3.95%."
2026-04-07 15:53:32,0,PPC,362.0,370,2.21,683.03,698.13,Blaine below target,New suggested separator RPM: 698.1 RPM (2.21%),"PPC target Blaine is 370. Current Blaine is 362.00, so required correction is 2.21%."
2026-04-07 15:54:14,0,PPC,355.0,370,4.23,720.0,750.42,Blaine below target,New suggested separator RPM: 750.4 RPM (4.23%),"PPC target Blaine is 370. Current Blaine is 355.00, so required correction is 4.23%."
2026-04-07 15:54:48,0,PPC,360.0,370,2.78,717.0,736.92,Blaine below target,New suggested separator RPM: 736.9 RPM (2.78%),"PPC target Blaine is 370. Current Blaine is 360.00, so required correction is 2.78%."
2026-04-07 15:55:25,0,PPC,356.0,370,3.93,717.0,745.2,Blaine below target,New suggested separator RPM: 745.2 RPM (3.93%),"PPC target Blaine is 370. Current Blaine is 356.00, so required correction is 3.93%."
2026-04-07 15:55:32,0,PPC,363.0,370,1.93,717.0,730.83,Blaine below target,New suggested separator RPM: 730.8 RPM (1.93%),"PPC target Blaine is 370. Current Blaine is 363.00, so required correction is 1.93%."
2026-04-07 15:55:41,0,PPC,354.0,370,4.52,717.0,749.41,Blaine below target,New suggested separator RPM: 749.4 RPM (4.52%),"PPC target Blaine is 370. Current Blaine is 354.00, so required correction is 4.52%."
2026-04-07 15:55:53,0,PPC,358.0,370,3.35,717.0,741.03,Blaine below target,New suggested separator RPM: 741.0 RPM (3.35%),"PPC target Blaine is 370. Current Blaine is 358.00, so required correction is 3.35%."
2026-04-07 15:56:05,0,PPC,364.0,370,1.65,717.0,728.82,Blaine below target,New suggested separator RPM: 728.8 RPM (1.65%),"PPC target Blaine is 370. Current Blaine is 364.00, so required correction is 1.65%."
2026-04-07 15:56:14,0,PPC,343.0,370,7.87,717.0,773.44,Blaine below target,New suggested separator RPM: 773.4 RPM (7.87%),"PPC target Blaine is 370. Current Blaine is 343.00, so required correction is 7.87%."
2026-04-07 15:56:21,0,PPC,361.0,370,2.49,717.0,734.88,Blaine below target,New suggested separator RPM: 734.9 RPM (2.49%),"PPC target Blaine is 370. Current Blaine is 361.00, so required correction is 2.49%."
2026-04-07 15:56:33,0,PPC,358.0,370,3.35,717.0,741.03,Blaine below target,New suggested separator RPM: 741.0 RPM (3.35%),"PPC target Blaine is 370. Current Blaine is 358.00, so required correction is 3.35%."
2026-04-07 15:56:46,0,PPC,358.0,370,3.35,721.0,745.17,Blaine below target,New suggested separator RPM: 745.2 RPM (3.35%),"PPC target Blaine is 370. Current Blaine is 358.00, so required correction is 3.35%."
2026-04-07 15:57:02,0,PPC,364.0,370,1.65,700.0,711.54,Blaine below target,New suggested separator RPM: 711.5 RPM (1.65%),"PPC target Blaine is 370. Current Blaine is 364.00, so required correction is 1.65%."
2026-04-07 15:57:11,0,PPC,343.0,370,7.87,700.0,755.1,Blaine below target,New suggested separator RPM: 755.1 RPM (7.87%),"PPC target Blaine is 370. Current Blaine is 343.00, so required correction is 7.87%."
2026-04-07 15:57:21,0,PPC,361.0,370,2.49,700.0,717.45,Blaine below target,New suggested separator RPM: 717.5 RPM (2.49%),"PPC target Blaine is 370. Current Blaine is 361.00, so required correction is 2.49%."
2026-04-07 15:57:36,0,PPC,343.0,370,7.87,721.0,777.76,Blaine below target,New suggested separator RPM: 777.8 RPM (7.87%),"PPC target Blaine is 370. Current Blaine is 343.00, so required correction is 7.87%."
2026-04-07 15:57:44,0,PPC,352.0,370,5.11,721.0,757.87,Blaine below target,New suggested separator RPM: 757.9 RPM (5.11%),"PPC target Blaine is 370. Current Blaine is 352.00, so required correction is 5.11%."
2026-04-07 15:57:53,0,PPC,348.0,370,6.32,721.0,766.58,Blaine below target,New suggested separator RPM: 766.6 RPM (6.32%),"PPC target Blaine is 370. Current Blaine is 348.00, so required correction is 6.32%."
2026-04-07 16:06:46,0,PPC,352.0,370,5.11,721.0,757.87,Blaine below target,New suggested separator RPM: 757.9 RPM (5.11%),"PPC target Blaine is 370. Current Blaine is 352.00, so required correction is 5.11%."
2026-04-09 08:51:28,0,PPC,360.0,370,2.78,717.15,737.07,Blaine below target,New suggested separator RPM: 737.1 RPM (2.78%),"PPC target Blaine is 370. Current Blaine is 360.00, so required correction is 2.78%."
2026-04-09 08:51:40,0,PPC,356.0,370,3.93,717.15,745.35,Blaine below target,New suggested separator RPM: 745.4 RPM (3.93%),"PPC target Blaine is 370. Current Blaine is 356.00, so required correction is 3.93%."
2026-04-09 08:52:40,0,PPC,360.0,370,2.78,717.15,737.07,Blaine below target,New suggested separator RPM: 737.1 RPM (2.78%),"PPC target Blaine is 370. Current Blaine is 360.00, so required correction is 2.78%."
2026-04-09 08:55:35,0,PPC,355.0,370,4.23,717.15,747.45,Blaine below target,New suggested separator RPM: 747.5 RPM (4.23%),"PPC target Blaine is 370. Current Blaine is 355.00, so required correction is 4.23%."
2026-04-09 08:56:24,0,PPC,362.0,370,2.21,683.0,698.09,Blaine below target,New suggested separator RPM: 698.1 RPM (2.21%),"PPC target Blaine is 370. Current Blaine is 362.00, so required correction is 2.21%."
2026-04-09 08:56:59,0,PPC,355.0,370,4.23,698.0,727.49,Blaine below target,New suggested separator RPM: 727.5 RPM (4.23%),"PPC target Blaine is 370. Current Blaine is 355.00, so required correction is 4.23%."
2026-04-09 08:57:17,0,PPC,362.0,370,2.21,698.0,713.43,Blaine below target,New suggested separator RPM: 713.4 RPM (2.21%),"PPC target Blaine is 370. Current Blaine is 362.00, so required correction is 2.21%."
2026-04-09 09:03:26,0,PPC,356.0,370,3.93,736.0,764.94,Blaine below target,New suggested separator RPM: 764.9 RPM (3.93%),"PPC target Blaine is 370. Current Blaine is 356.00, so required correction is 3.93%."
2026-04-09 09:04:41,0,PPC,363.0,370,1.93,764.0,778.73,Blaine below target,New suggested separator RPM: 778.7 RPM (1.93%),"PPC target Blaine is 370. Current Blaine is 363.00, so required correction is 1.93%."
2026-04-09 09:04:56,0,PPC,354.0,370,4.52,778.0,813.16,Blaine below target,New suggested separator RPM: 813.2 RPM (4.52%),"PPC target Blaine is 370. Current Blaine is 354.00, so required correction is 4.52%."
2026-04-09 09:05:21,0,PPC,358.0,370,3.35,813.4,840.66,Blaine below target,New suggested separator RPM: 840.7 RPM (3.35%),"PPC target Blaine is 370. Current Blaine is 358.00, so required correction is 3.35%."
2026-04-09 09:05:34,0,PPC,364.0,370,1.65,813.4,826.81,Blaine below target,New suggested separator RPM: 826.8 RPM (1.65%),"PPC target Blaine is 370. Current Blaine is 364.00, so required correction is 1.65%."
2026-04-09 09:06:02,0,PPC,343.0,370,7.87,700.0,755.1,Blaine below target,New suggested separator RPM: 755.1 RPM (7.87%),"PPC target Blaine is 370. Current Blaine is 343.00, so required correction is 7.87%."
2026-04-09 09:06:18,0,PPC,361.0,370,2.49,755.1,773.93,Blaine below target,New suggested separator RPM: 773.9 RPM (2.49%),"PPC target Blaine is 370. Current Blaine is 361.00, so required correction is 2.49%."
